HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

11.400	1.240	0.240
11.417	1.234	0.240
11.433	1.204	0.260
11.450	1.236	0.240
11.467	1.164	0.252
11.483	1.176	0.216
11.500	1.172	0.244
11.517	1.232	0.256
11.533	1.270	0.252
11.550	1.244	0.236
11.567	1.218	0.256
11.583	1.186	0.264
11.600	1.194	0.256
11.617	1.192	0.256
11.633	1.176	0.244
11.650	1.166	0.228
11.667	1.130	0.216
11.683	1.130	0.196
11.700	1.120	0.236
11.717	1.122	0.248
11.733	1.188	0.236
11.750	1.198	0.212
11.767	1.138	0.256
11.783	1.136	0.224
11.800	1.114	0.200
11.817	1.184	0.192
11.833	1.142	0.252
11.850	1.170	0.224
11.867	1.158	0.232
11.883	1.176	0.236
11.900	1.160	0.256
11.917	1.194	0.220
11.933	1.164	0.196
11.950	1.160	0.200
11.967	1.114	0.212
11.983	1.184	0.220
12.000	1.132	0.196
12.017	1.154	0.224
12.033	1.152	0.236
12.050	1.210	0.240
12.067	1.180	0.208
12.083	1.146	0.228
12.100	1.168	0.248
12.117	1.150	0.244
12.133	1.108	0.212
12.150	1.094	0.168
12.167	1.118	0.160
12.183	1.098	0.180
12.200	1.142	0.216
12.217	1.134	0.236
12.233	1.124	0.268
12.250	1.134	0.236
12.267	1.128	0.204
12.283	1.066	0.176
12.300	1.046	0.200
12.317	1.160	0.200
12.333	1.144	0.204
12.350	1.142	0.216
12.367	1.106	0.236
12.383	1.182	0.248
12.400	1.130	0.224
12.417	1.148	0.220
12.433	1.040	0.192
12.450	1.054	0.216
12.467	1.094	0.172
12.483	1.102	0.172
12.500	1.120	0.204
12.517	1.112	0.240
12.533	1.122	0.224
12.550	1.110	0.212
12.567	1.154	0.224
12.583	1.092	0.232
12.600	1.098	0.216
12.617	1.076	0.180
12.633	1.112	0.208
12.650	1.072	0.200
12.667	1.066	0.208
12.683	1.082	0.204
12.700	1.084	0.256
12.717	1.122	0.272
12.733	1.130	0.264
12.750	1.176	0.236
12.767	1.130	0.220
12.783	1.130	0.212
12.800	1.032	0.180
12.817	1.080	0.176
12.833	1.100	0.196
12.850	1.124	0.228
12.867	1.130	0.208
